OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,LOCALGOVERNMENTAREA_LGA,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,1,Albury City Council,Operational,Albury (C),553 Kiewa Street,Albury,New South Wales,5,20141201,,-36.0776549999999,146.915895
2,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,2,Armidale Dumaresq Council,Operational,Armidale Dumaresq (A),135 Rusden Street,Armidale,New South Wales,5,20141201,,-30.5144779999999,151.665574
3,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,3,Ashfield Council,Operational,Ashfield (A),260 Liverpool Road,Ashfield,New South Wales,5,20141201,,-33.8888459999999,151.124226
4,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,4,Auburn City Council,Operational,Auburn (C),1 Susan Street,Auburn,New South Wales,5,20141202,,-33.853288,151.033589
5,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,5,Ballina Shire Council,Operational,Ballina (A),40 Cherry Street,Ballina,New South Wales,5,20141208,,-28.869447,153.561789
6,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,6,Balranald Shire Council,Operational,Balranald (A),70 Market Street,Balranald,New South Wales,5,20141208,,-34.6416369999999,143.565534
7,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,7,Bankstown City Council,Operational,Bankstown (C),66-72 Rickard Road,Bankstown,New South Wales,5,20141208,,-33.914996,151.036484
8,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,8,Bathurst Regional Council,Operational,Bathurst Regional (A),158 Russell Street,Bathurst,New South Wales,5,20141208,,-33.4186129999999,149.579137
9,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,9,Bega Valley Shire Council,Operational,Bega Valley (A),Zingel Place,Bega,New South Wales,5,20141208,,-36.675777,149.842161
10,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,10,Bellingen Shire Council,Operational,Bellingen (A),33-39 Hyde Street,Bellingen,New South Wales,4,20141208,,-30.451721,152.898729
11,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,11,Berrigan Shire Council,Operational,Berrigan (A),56 Chanter Street,Berrigan,New South Wales,5,20141208,,-35.6574189999999,145.808983
12,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,12,Blacktown City Council,Operational,Blacktown (C),62 Flushcombe Road,Blacktown,New South Wales,5,20141208,,-33.7717,150.908458
13,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,13,Bland Shire Council,Operational,Bland (A),6-8 Shire Street,West Wyalong,New South Wales,5,20141208,,-33.9244219999999,147.203786
14,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,14,Blayney Shire Council,Operational,Blayney (A),91 Adelaide Street,Blayney,New South Wales,5,20141208,,-33.5302389999999,149.255367
15,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,15,Blue Mountains City Council,Operational,Blue Mountains (C),2-6 Civic Place,Katoomba,New South Wales,5,20141208,,-33.7106899999999,150.312588
16,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,16,Bogan Shire Council,Operational,Bogan (A),81-83 Cobar Street,Nyngan,New South Wales,5,20141208,,-31.563972,147.194535
17,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,17,Bombala Council,Operational,Bombala (A),71 Caveat Street,Bombala,New South Wales,4,20141208,,-36.9130959999999,149.239601
18,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,18,Boorowa Council,Operational,Boorowa (A),6-8 Market Street,Boorowa,New South Wales,5,20141208,,-34.437192,148.718245
19,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,19,Botany Bay City Council,Operational,Botany Bay (C),141 Coward Street,Mascot,New South Wales,5,20141208,,-33.9257709999999,151.196287
20,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,20,Bourke Shire Council,Operational,Bourke (A),29 Mitchell Street,Bourke,New South Wales,5,20141208,,-30.088516,145.93701
21,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,21,Brewarrina Shire Council,Operational,Brewarrina (A),57 Bathurst Street,Brewarrina,New South Wales,4,20141208,,-29.9610319999999,146.857565
22,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,22,Broken Hill City Council,Operational,Broken Hill (C),240 Blende Street,Broken Hill,New South Wales,5,20141208,,-31.958563,141.462043
23,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,23,Burwood Council,Operational,Burwood (A),1-17 Elsie Street,Burwood,New South Wales,4,20141208,,-33.875394,151.102746
24,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,24,Byron Shire Council,Operational,Byron (A),70-90 Station Street,Mullumbimby,New South Wales,4,20141209,,-28.553806,153.502497
25,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,25,Cabonne Council,Operational,Cabonne (A),101 Bank Street,Molong,New South Wales,4,20141209,,-33.091687,148.86743
26,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,26,Camden Council,Operational,Camden (A),37 John Street,Camden,New South Wales,5,20141209,,-34.0538589999999,150.695043
27,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,27,Campbelltown City Council,Operational,Campbelltown (C),91 Queen Street,Campbelltown,New South Wales,5,20141209,,-34.06371,150.81583
28,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,28,City of Canada Bay Council,Operational,Canada Bay (A),1A Marlborough Street,Drummoyne,New South Wales,5,20141209,,-33.8515619999999,151.152869
29,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,29,Canterbury City Council,Operational,Canterbury (C),137 Beamish Street,Campsie,New South Wales,5,20141209,,-33.907742,151.103534
30,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,30,Carrathool Shire Council - Goolgowi Office,Operational,Carrathool (A),9-11 Cobram Street,Goolgowi,New South Wales,4,20141209,,-33.9815599999999,145.709064
31,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,31,Carrathool Shire Council - Hillston District Office,Operational,Carrathool (A),139-145 High Street,Hillston,New South Wales,3,20141209,,-33.484236,145.533059
32,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,32,Central Darling Shire Council,Operational,Central Darling (A),21 Reid Street,Wilcannia,New South Wales,3,20141209,,-31.557787,143.38013
33,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,33,Cessnock City Council,Operational,Cessnock (C),62-78 Vincent Street,Cessnock,New South Wales,3,20141209,,-32.8351779999999,151.356582
34,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,34,Clarence Valley Council,Operational,Clarence Valley (A),2 Prince Street,Grafton,New South Wales,5,20141209,,-29.692621,152.932537
35,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,35,Cobar Shire Council,Operational,Cobar (A),36 Linsley Street,Cobar,New South Wales,5,20141209,,-31.499196,145.838656
36,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,36,Coffs Harbour City Council,Operational,Coffs Harbour (C),2 Castle Street,Coffs Harbour,New South Wales,5,20141209,,-30.2953249999999,153.117494
37,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,37,Conargo Shire Council,Operational,Conargo (A),122 End Street,Deniliquin,New South Wales,5,20150901,,-35.5336956629999,144.965961037
38,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,38,Coolamon Shire Council,Operational,Coolamon (A),55 Cowabbie Street,Coolamon,New South Wales,4,20141209,,-34.8190309999999,147.202223
39,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,39,Cooma-Monaro Shire Council,Operational,Cooma-Monaro (A),81 Commissioner Street,Cooma,New South Wales,5,20141209,,-36.235378,149.127336
40,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,40,Coonamble Shire Council Council,Operational,Coonamble (A),80 Castlereagh Street,Coonamble,New South Wales,5,20141209,,-30.95494,148.388448
41,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,41,Cootamundra Shire Council,Operational,Cootamundra (A),81 Wallendoon Street,Cootamundra,New South Wales,5,20141209,,-34.639423,148.025672
42,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,42,Corowa Shire Council,Operational,Corowa Shire (A),100 Edward Street,Corowa,New South Wales,3,20141209,,-36.003194,146.394571
43,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,43,Cowra Council,Operational,Cowra (A),116 Kendal Street,Cowra,New South Wales,5,20141209,,-33.8347269999999,148.693359
44,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,44,Deniliquin Council,Operational,Deniliquin (A),Civic Place,Deniliquin,New South Wales,5,20150901,,-35.531715386,144.964684673
45,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,45,Dubbo City Council,Operational,Dubbo (C),70 Church Street,Dubbo,New South Wales,5,20141209,,-32.247128,148.605549
46,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,46,Dungog Shire Council,Operational,Dungog (A),198 Dowling Street,Dungog,New South Wales,5,20141209,,-32.401583,151.757388
47,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,47,Eurobodalla Shire Council,Operational,Eurobodalla (A),Vulcan Street,Moruya,New South Wales,5,20141209,,-35.912886,150.079895
48,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,48,Fairfield City Council,Operational,Fairfield (C),86 Avoca Road,Wakeley,New South Wales,5,20141209,,-33.878728,150.914997
49,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,49,Forbes Shire Council,Operational,Forbes (A),2 Court Street,Forbes,New South Wales,3,20141209,,-33.3856039999999,148.008059
50,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,50,Gilgandra Council,Operational,Gilgandra (A),Warren Road,Gilgandra,New South Wales,5,20150206,,-31.7117479999999,148.661784
51,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,51,Glen Innes Severn Council,Operational,Glen Innes Severn (A),136 Church Street,Glen Innes,New South Wales,3,20141209,,-29.739975,151.737309
52,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,52,Gloucester Shire Council,Operational,Gloucester (A),89 King Street,Gloucester,New South Wales,5,20141209,,-32.009578,151.965505
53,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,53,Gosford City Council,Operational,Gosford (C),49 Mann Street,Gosford,New South Wales,4,20141112,,-33.428442,151.342214
54,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,54,Goulburn Mulwaree Council,Operational,Goulburn Mulwaree (A),184-194 Bourke Street,Goulburn,New South Wales,3,20141112,,-34.7517319999999,149.71738
55,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,55,Great Lakes Council,Operational,Great Lakes (A),Breese Parade,Forster,New South Wales,3,20141112,,-32.200822,152.52286
56,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,56,Greater Hume Shire Council - Culcairn Office,Operational,Greater Hume Shire (A),40 Balfour Street,Culcairn,New South Wales,3,20141112,,-35.6675119999999,147.036238
57,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,57,Greater Hume Shire Council - Holbrook Office,Operational,Greater Hume Shire (A),39 Young Street,Holbrook,New South Wales,4,20141112,,-35.724544,147.31225
58,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,58,Greater Taree City Council,Operational,Greater Taree (C),2 Pulteney Street,Taree,New South Wales,4,20141112,,-31.914974,152.459958
59,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,59,Griffith City Council,Operational,Griffith (C),1 Benerembah Street,Griffith,New South Wales,3,20141112,,-34.286328,146.036796
60,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,60,Gundagai Shire Council,Operational,Gundagai (A),255 Sheridan Street,Gundagai,New South Wales,3,20141112,,-35.062101,148.101584
61,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,61,Gunnedah Shire Council,Operational,Gunnedah (A),63 Elgin Street,Gunnedah,New South Wales,4,20141112,,-30.9782789999999,150.256107
62,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,62,Guyra Shire Council,Operational,Guyra (A),158 Bradley Street,Guyra,New South Wales,4,20141112,,-30.221576,151.67117
63,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,63,Gwydir Shire Council - Bingara Office,Operational,Gwydir (A),33 Maitland Street,Bingara,New South Wales,4,20141112,,-29.8679959999999,150.572256
64,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,64,Gwydir Shire Council - Warialda Office,Operational,Gwydir (A),52 Hope Street,Warialda,New South Wales,3,20141112,,-29.540902,150.5753
65,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,65,Harden Shire Council,Operational,Harden (A),3 East Street,Harden,New South Wales,4,20141112,,-34.5528219999999,148.367854
66,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,66,Hawkesbury City Council,Operational,Hawkesbury (C),366 George Street,Windsor,New South Wales,4,20141112,,-33.6114479999999,150.815037
67,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,67,Hay Shire Council,Operational,Hay (A),134 Lachlan Street,Hay,New South Wales,4,20141112,,-34.5090559999999,144.843151
68,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,68,The Hills Shire Council,Operational,The Hills Shire (A),3 Columbia Court,Baulkham Hills,New South Wales,4,20141112,,-33.730542,150.971229
69,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,69,Holroyd City Council,Operational,Holroyd (C),16 Memorial Avenue,Merrylands,New South Wales,4,20141112,,-33.837792,150.989058
