NAME
Alpine Shire Council
Banyule City Council
Bass Coast Shire Council
Baw Baw Shire Council - Drouin Office
Benalla Rural City Council
Boroondara City Council
Brimbank City Council
Buloke Shire Council
Campaspe Shire Council - Headquarters
Cardinia Shire Council
Casey City Council
Central Goldfields Shire Council
City of Ballarat
City Of Stonnington - Headquarters
Colac-Otway Shire Council
Corangamite Shire Council
Darebin City Council
East Gippsland Shire Council
Frankston City Council
Gannawarra Shire Council
Glen Eira City Council
Glenelg Shire Council
Golden Plains Shire Council
Greater Bendigo City Council
Greater Dandenong City Council
Greater Geelong City Council
Greater Shepparton City Council
Hepburn Shire Council
Hindmarsh Shire Council
Hobsons Bay City Council
Horsham Rural City Council
Hume City Council
Indigo Shire Council
Kingston City Council
Knox City Council
Latrobe City Council
Loddon Shire Council
Macedon Ranges Shire Council
Manningham City Council
Mansfield Shire Council
Maroondah City Council
Melton City Council
Mildura Rural City Council
Mitchell Shire Council
Moira Shire Council
Monash City Council
Moonee Valley City Council
Moorabool Shire Council
Moreland City Council
Mornington Peninsula Shire Council - Mornington Office
Mount Alexander Shire Council
Murrindindi Shire Council
Nillumbik Shire Council
Northern Grampians Shire Council
Port Phillip City Council
Pyrenees Shire Council
Queenscliffe Borough Council
South Gippsland Shire Council
Southern Grampians Shire Council
Strathbogie Shire Council
Surf Coast Shire Council
Swan Hill Rural City Council
Towong Shire Council
Wangaratta Rural City Council
Warrnambool City Council
Wellington Shire Council
Whitehorse City Council
Whittlesea City Council
Wodonga City Council
Yarra City Council
Yarriambiack Shire Council
